playerId,season,name,team,position,situation,games_played,icetime,I_F_goals,I_F_points,I_F_primaryAssists,I_F_secondaryAssists
8479365,2024,Trent Frederic,BOS,C,5on5,57,42011.0,7.0,12.0,3.0,2.0
8479365,2024,Trent Frederic,BOS,C,4on5,57,1498.0,0.0,0.0,0.0,0.0
8479365,2024,Trent Frederic,BOS,C,5on4,57,2867.0,1.0,3.0,1.0,1.0
8476473,2024,Connor Murphy,CHI,D,other,49,1315.0,1.0,1.0,0.0,0.0
8476473,2024,Connor Murphy,CHI,D,all,49,61219.0,1.0,16.0,3.0,12.0
8476473,2024,Connor Murphy,CHI,D,5on5,49,53026.0,0.0,15.0,3.0,12.0
8476473,2024,Connor Murphy,CHI,D,4on5,49,6682.0,0.0,0.0,0.0,0.0
8476473,2024,Connor Murphy,CHI,D,5on4,49,196.0,0.0,0.0,0.0,0.0
8482124,2024,Quinton Byfield,LAK,R,other,60,3172.0,2.0,4.0,1.0,1.0
8482124,2024,Quinton Byfield,LAK,R,all,60,66997.0,12.0,35.0,11.0,12.0
8482124,2024,Quinton Byfield,LAK,R,5on5,60,51960.0,8.0,27.0,9.0,10.0
8482124,2024,Quinton Byfield,LAK,R,4on5,60,5266.0,0.0,0.0,0.0,0.0
8482124,2024,Quinton Byfield,LAK,R,5on4,60,6599.0,1.0,3.0,1.0,1.0
8474090,2024,Brendan Smith,DAL,D,other,27,171.0,0.0,0.0,0.0,0.0
8474090,2024,Brendan Smith,DAL,D,all,27,20829.0,0.0,4.0,2.0,2.0
8474090,2024,Brendan Smith,DAL,D,5on5,27,19301.0,0.0,4.0,2.0,2.0
8474090,2024,Brendan Smith,DAL,D,4on5,27,1308.0,0.0,0.0,0.0,0.0
8474090,2024,Brendan Smith,DAL,D,5on4,27,49.0,0.0,0.0,0.0,0.0
8482122,2024,Brock Faber,MIN,D,other,58,4479.0,0.0,2.0,2.0,0.0
8482122,2024,Brock Faber,MIN,D,all,58,87385.0,6.0,23.0,6.0,11.0
8482122,2024,Brock Faber,MIN,D,5on5,58,68506.0,4.0,12.0,1.0,7.0
8482122,2024,Brock Faber,MIN,D,4on5,58,6398.0,0.0,0.0,0.0,0.0
8482122,2024,Brock Faber,MIN,D,5on4,58,8002.0,1.0,8.0,3.0,4.0
8474709,2024,Matt Martin,NYI,L,other,24,54.0,0.0,0.0,0.0,0.0
8474709,2024,Matt Martin,NYI,L,all,24,11215.0,0.0,1.0,1.0,0.0
8474709,2024,Matt Martin,NYI,L,5on5,24,11153.0,0.0,1.0,1.0,0.0
8474709,2024,Matt Martin,NYI,L,4on5,24,0.0,0.0,0.0,0.0,0.0
8474709,2024,Matt Martin,NYI,L,5on4,24,8.0,0.0,0.0,0.0,0.0
8482088,2024,Justin Sourdif,FLA,R,other,1,0.0,0.0,0.0,0.0,0.0
8482088,2024,Justin Sourdif,FLA,R,all,1,567.0,1.0,1.0,0.0,0.0
8482088,2024,Justin Sourdif,FLA,R,5on5,1,567.0,1.0,1.0,0.0,0.0
8482088,2024,Justin Sourdif,FLA,R,4on5,1,0.0,0.0,0.0,0.0,0.0
8482088,2024,Justin Sourdif,FLA,R,5on4,1,0.0,0.0,0.0,0.0,0.0
8480028,2024,Morgan Frost,CGY,C,other,60,2173.0,1.0,2.0,0.0,1.0
8480028,2024,Morgan Frost,CGY,C,all,60,55377.0,13.0,30.0,7.0,10.0
8480028,2024,Morgan Frost,CGY,C,5on5,60,44749.0,11.0,20.0,3.0,6.0
8480028,2024,Morgan Frost,CGY,C,4on5,60,42.0,0.0,0.0,0.0,0.0
8480028,2024,Morgan Frost,CGY,C,5on4,60,8413.0,1.0,8.0,4.0,3.0
8482470,2024,Ilya Solovyov,CGY,D,other,5,115.0,0.0,0.0,0.0,0.0
8482470,2024,Ilya Solovyov,CGY,D,all,5,4701.0,0.0,1.0,1.0,0.0
8482470,2024,Ilya Solovyov,CGY,D,5on5,5,3901.0,0.0,1.0,1.0,0.0
8482470,2024,Ilya Solovyov,CGY,D,4on5,5,685.0,0.0,0.0,0.0,0.0
8482470,2024,Ilya Solovyov,CGY,D,5on4,5,0.0,0.0,0.0,0.0,0.0
8482475,2024,Yegor Chinakhov,CBJ,R,other,22,1216.0,0.0,1.0,0.0,1.0
8482475,2024,Yegor Chinakhov,CBJ,R,all,22,22251.0,7.0,14.0,5.0,2.0
8482475,2024,Yegor Chinakhov,CBJ,R,5on5,22,17968.0,5.0,9.0,3.0,1.0
8482475,2024,Yegor Chinakhov,CBJ,R,4on5,22,140.0,0.0,0.0,0.0,0.0
8482475,2024,Yegor Chinakhov,CBJ,R,5on4,22,2927.0,2.0,4.0,2.0,0.0
8482476,2024,Emil Heineman,MTL,L,other,46,236.0,0.0,0.0,0.0,0.0
8482476,2024,Emil Heineman,MTL,L,all,46,31234.0,10.0,17.0,5.0,2.0
8482476,2024,Emil Heineman,MTL,L,5on5,46,28083.0,7.0,13.0,4.0,2.0
8482476,2024,Emil Heineman,MTL,L,4on5,46,19.0,0.0,0.0,0.0,0.0
8482476,2024,Emil Heineman,MTL,L,5on4,46,2896.0,3.0,4.0,1.0,0.0
8481726,2024,Adam Edstrom,NYR,C,other,51,130.0,0.0,0.0,0.0,0.0
8481726,2024,Adam Edstrom,NYR,C,all,51,28377.0,5.0,9.0,3.0,1.0
8481726,2024,Adam Edstrom,NYR,C,5on5,51,28048.0,5.0,9.0,3.0,1.0
8481726,2024,Adam Edstrom,NYR,C,4on5,51,0.0,0.0,0.0,0.0,0.0
8481726,2024,Adam Edstrom,NYR,C,5on4,51,199.0,0.0,0.0,0.0,0.0
8475158,2024,Ryan O'Reilly,NSH,C,other,58,5101.0,4.0,8.0,4.0,0.0
8475158,2024,Ryan O'Reilly,NSH,C,all,58,65715.0,16.0,39.0,14.0,9.0
8475158,2024,Ryan O'Reilly,NSH,C,5on5,58,48474.0,6.0,19.0,7.0,6.0
8475158,2024,Ryan O'Reilly,NSH,C,4on5,58,2923.0,0.0,0.0,0.0,0.0
8475158,2024,Ryan O'Reilly,NSH,C,5on4,58,9217.0,6.0,12.0,3.0,3.0
8476881,2024,Tomas Hertl,VGK,C,other,61,3056.0,5.0,7.0,1.0,1.0
8476881,2024,Tomas Hertl,VGK,C,all,61,63033.0,24.0,48.0,12.0,12.0
8476881,2024,Tomas Hertl,VGK,C,5on5,61,49392.0,9.0,23.0,7.0,7.0
8476881,2024,Tomas Hertl,VGK,C,4on5,61,524.0,0.0,0.0,0.0,0.0
8476881,2024,Tomas Hertl,VGK,C,5on4,61,10061.0,10.0,18.0,4.0,4.0
8473512,2024,Claude Giroux,OTT,R,other,61,5004.0,4.0,10.0,4.0,2.0
8473512,2024,Claude Giroux,OTT,R,all,61,68931.0,12.0,39.0,16.0,11.0
8473512,2024,Claude Giroux,OTT,R,5on5,61,47144.0,6.0,20.0,7.0,7.0
8473512,2024,Claude Giroux,OTT,R,4on5,61,8558.0,0.0,1.0,1.0,0.0
8473512,2024,Claude Giroux,OTT,R,5on4,61,8225.0,2.0,8.0,4.0,2.0
8483538,2024,Owen Sillinger,CBJ,C,other,1,36.0,0.0,0.0,0.0,0.0
